Time_s,Template
0.0,0.025430921052631554
0.001,0.030167763157894753
0.002,0.020694078947368452
0.003,-0.0056217105263158115
0.004,-0.003516447368421026
0.005,0.014378289473684235
0.006,0.017536184210526367
0.007,0.028588815789473733
0.008,0.02174671052631575
0.009000000000000001,0.011220394736842098
0.01,0.01700986842105265
0.011,0.02279934210526319
0.012,0.02016776315789473
0.013000000000000001,-0.004569078947368372
0.014,-0.004569078947368372
0.015,0.011220394736842144
0.016,0.012799342105263165
0.017,0.01806250000000004
0.018000000000000002,0.032799342105263175
0.019,0.020694078947368452
0.02,0.012799342105263211
0.021,0.015957236842105302
0.022,0.013325657894736883
0.023,-0.0003585526315789415
0.024,-0.0019375000000000071
0.025,0.011220394736842144
0.026000000000000002,0.008588815789473686
0.027,0.009115131578947406
0.028,0.023851973684210537
0.029,0.02753618421052634
0.03,0.01700986842105266
0.031,0.00964144736842108
0.032,0.009115131578947406
0.033,0.00227302631578947
0.034,-0.0008848684210526145
0.035,0.0070098684210526205
0.036000000000000004,0.00227302631578947
0.037,-0.0014111842105263342
0.038,0.010694078947368436
0.039,0.01964144736842107
0.04,0.01753618421052632
0.041,0.003325657894736863
0.042,0.00016776315789477825
0.043000000000000003,-0.004569078947368419
0.044,-0.012990131578947373
0.045,0.00016776315789473152
0.046,-0.0019375000000000071
0.047,-0.00930592105263157
0.048,-0.0003585526315789882
0.049,0.007536184210526305
0.05,0.007536184210526294
0.051000000000000004,-0.008253289473684177
0.052000000000000005,-0.010884868421052624
0.053,-0.01404276315789472
0.054,-0.023516447368421022
0.055,-0.025621710526315778
0.056,-0.008253289473684177
0.057,-0.01404276315789472
0.058,-0.010358552631578963
0.059000000000000004,-0.0019374999999999954
0.06,-0.011937499999999969
0.061,-0.02667434210526316
0.062,-0.021937499999999978
0.063,-0.021937499999999978
0.064,-0.026148026315789486
0.065,-0.03877960526315786
0.066,-0.045095394736842084
0.067,-0.03246381578947365
0.068,-0.02141118421052628
0.069,-0.01246381578947363
0.07,-0.025621710526315764
0.07100000000000001,-0.040358552631578934
0.07200000000000001,-0.03246381578947364
0.073,-0.027726973684210482
0.074,-0.03246381578947367
0.075,-0.04456907894736841
0.076,-0.0577269736842105
0.077,-0.04351644736842106
0.078,-0.026674342105263135
0.079,-0.017200657894736838
0.08,-0.021937499999999954
0.081,-0.042463815789473676
0.082,-0.03614802631578946
0.083,-0.029305921052631533
0.084,-0.028253289473684176
0.085,-0.03509539473684211
0.08600000000000001,-0.05772697368421052
0.08700000000000001,-0.0524638157894737
0.088,-0.030884868421052612
0.089,-0.015095394736842066
0.09,-0.008253289473684165
0.091,-0.0282532894736842
0.092,-0.03404276315789472
0.093,-0.02404276315789474
0.094,-0.017726973684210477
0.095,-0.021937499999999954
0.096,-0.044569078947368404
0.097,-0.047200657894736826
0.098,-0.023516447368421022
0.099,-0.0045690789473684075
0.1,0.008062500000000037
0.101,-0.003516447368421026
0.10200000000000001,-0.01720065789473685
0.10300000000000001,-0.008779605263157896
0.10400000000000001,-0.0008848684210526495
0.105,-0.003516447368421026
0.106,-0.028253289473684225
0.107,-0.036148026315789485
0.108,-0.016148026315789495
0.109,0.0038519736842105357
0.11,0.014378289473684235
0.111,-0.004569078947368419
0.112,-0.01614802631578946
0.113,0.0006940789473684513
0.114,0.013325657894736883
0.115,0.014378289473684235
0.116,-0.004569078947368419
0.117,-0.029305921052631557
0.11800000000000001,-0.020358552631578937
0.11900000000000001,-0.0003585526315789882
0.12,0.010694078947368424
0.121,0.012799342105263175
0.122,-0.011937499999999969
0.123,-0.007726973684210492
0.124,0.012799342105263165
0.125,0.02016776315789473
0.126,0.007536184210526341
0.127,-0.01246381578947369
0.128,-0.017200657894736803
0.129,-0.0014111842105262874
0.13,0.012273026315789491
0.131,0.023325657894736864
